MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
ProductPageTab1,,描述 ,-7,,,0
ProductPageTab2,,其他客户也已购买,-7,,,0
SearchPageTab1,,产品 (<span id="searchTabProdCount">[productTotalCount]</span>),-7,,,0
SearchPageTab2,,文章 & 视频 (<span id="searchTabContentCount">[contentTotalCount]</span>),-7,,,0
PasswordResetNotifyCenter,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">亲爱的 [userName]，</h2>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">我们已收到您重置密码的请求。</p>               <br />               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;"><strong>您的验证码为： </strong>[validationCode]</p>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">在您发出密码重置请求的浏览器中使用验证码。</p>               <br />                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">谢谢，</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[storeName] 团队</p><br /><br />,-7,,,0
WishlistCreateNotifyCenter,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">尊敬的客户，</h2>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[senderName] 来自电子邮件地址：[senderEmail] 已创建愿望清单。</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">要查看内容，请单击以下链接：</p>                             <p style="margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;">                <a style="color: #0081AF; text-decoration: underline;" class="link"href="[link]">[link]</a>               </p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">谢谢，</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[storeName] 团队</p><br/>,-7,,,0
HelpCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">帮助</div> <div class="content_box"> <div class="header_top">常见问题解答</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="header">如何订购商品？</div> <div class="info_section"> <p>在 [storeName] 上订购商品非常方便。如果这是您第一次从我们的商店购买商品，只需遵循以下三个简单的步骤：</p> <div class="item_spacer_5px"></div> <ol> <li>浏览商品目录。</li> <li>将您想要购买的商品添加到购物车。</li> <li>完成结账流程。</li> </ol> <div class="item_spacer_5px"></div> <p>将询问您的电子邮件地址和密码以将您注册为客户。这样，当您再次光顾购物时，我们已存储了您的信息，因此您不必再次输入。</p> </div> <div class="header">如何付款？</div> <div class="info_section"> <p>我们接受 Visa 卡、万事达卡或运通卡。在您结账时，将提示您输入用于支付的信用卡号。 </p> </div> <div class="header">使用信用卡是否安全？</div> <div class="info_section"> <p>我们保证您在 [storeName] 进行的每笔交易都百分之百的安全可靠。这表示如果由于在 [storeName] 购物而对您的信用卡进行了未经授权的收费，那么您无需支付任何费用。如果您认为更合适的话，您可以只输入信用卡的最后五位数和它的到期日期。一旦您完全提交了订单，您可以通过电话告诉我们信用卡号的其他数字。 </p> </div> <div class="header">如何跟踪我的订单？</div> <div class="info_section"> <p>您只需单击每个页面顶部的“我的帐户”链接就可以复查在 [storeName] 下的任何订单的状态。从那里，您可以查看或修改任何尚未进入送货流程的订单。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-7,,,0
ContactUsCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">联系我们</div> <div class="content_box"> <div class="header_top">联系信息</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>我们随时为您效劳。</p> <br> <p>要获取关于您订单的支持，请向我们发送邮件，收件人为 support@[storeName].com。</p> <br> <p>如果您有任何关于 [storeName] 的问题，或希望提供关于我们商店或 Web 站点的反馈，请与我们联系，联系地址为 questions@[storeName].com。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-7,,,0
ReturnPolicyCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">退货政策</div> <div class="content_box"> <div class="header_top">我们的策略 </div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>如果您出于任何原因对订单并不完全满意，那么只需联系客户服务人员，以获取有关如何为订单退款以获得全额退款的指示信息。如果您准备进行其他订购，我们很高兴再次为您服务。 </p> <div class="item_spacer_50px"></div> <div class="item_spacer_50px"></div> </div> </div> </div> <div class="clear_float"></div> </div>,-7,,,0
PrivacyContentVersion1.0,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">隐私策略</div> <div class="content_box"> <div class="header_top">个人信息</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>[storeName] 致力于保护并尊重您的隐私。在 Web 上访问 [storeName] 时，您可以不告诉我们您是谁或不透露任何关于您本人的信息。必要时，出于送货和开票目的，您的个人信息会存储在安全的服务器上，但绝不会销售给第三方或未经您同意的情况下用于与您联系。</p> <br> <p>如果您选择通过因特网向我们提供我们在与您联系或处理订单时可能需要的个人信息，我们一定会告知您我们将如何使用此信息。如果您告知不希望将所提供的信息用作进一步联系的基础，我们会尊重您的愿望。</p> <br> <p>[storeName] 收集的信息由经过 [storeName] 授权的员工在内部用于三个主要目的。首先，我们收集信息以便通过查看哪些领域、特色和产品最受欢迎，从而确定如何改进我们的站点。其次，我们收集信息以便为客户提供个性化站点。例如，将来，我们可以根据过去您的喜好向您推荐您可能喜欢的产品或特色。最后，我们将跟踪用户访问我们站点时所使用的域。我们分析此数据以获取趋势和统计信息，然后将废弃此数据。</p> <br> <p>这是我们对您的承诺。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-7,,,0
