AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Эмблема магазина,AuroraStorefrontAssetStore,,-20,0
EmailBanner,Баннер электронной почты,Баннер электронной почты,,-20,0
EmailBottom_Content,Хранилище электронной почты - логотип специального предложения,Хранилище электронной почты - логотип специального предложения,,-20,0
WomenLandingPage_Atct_brand1,Brand1,Показать бренд,,-20,0
WomenLandingPage_Atct_brand2,brand2,Показать бренд,,-20,0
WomenLandingPage_Atct_brand3,brand3,Показать бренд,,-20,0
WomenLandingPage_Atct_brand4,brand4,Показать бренд,,-20,0
WomenLandingPage_Atct_brand5,brand5,Показать бренд,,-20,0
HeaderESpot15OffPurchaseAd,Скидка 15%,Сэкономьте 15% от суммы покупки,,-20,0
HeaderESpotFreeShippingSpecial,Бесплатная доставка,При покупке товаров на сумму больше 100 долларов доставка бесплатно,,-20,0
BoysPants_Atct_1,Уютные свитеры,"Уютные свитеры: при покупке одной вещи вы получаете 25 % скидки на вторую ",,-20,0
BoysPants_Atct_2,Джинсы,Джинсы для мальчиков - скидка 35% на все стили,,-20,0
BoysShoes_Atct_1,Футболки,Распродажа футболок: скидка 25% на футболки для мальчиков,,-20,0
BoysShoes_Atct_2,Распродажа обуви,"Распродажа туфель для мальчиков: при покупке двух пар получаете третью в подарок",,-20,0
BoysTops_Atct_1,Уютные свитеры,"Уютные свитеры: при покупке одной вещи вы получаете 25 % скидки на вторую ",,-20,0
BoysTops_Atct_2,Джинсы,Джинсы для мальчиков - скидка 35% на все стили,,-20,0
BoysRow1_Content,Распродажа одежды для мальчиков,Распродажа классных футболок: сэкономьте 30% на футболках для мальчиков,,-20,0
GirlsDS_Atct_1,Распродажа платьев,Распродажа платьев: 30% скидка на платья для девочек,,-20,0
GirlsDS_Atct_2,Распродажа обуви,"Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок",,-20,0
GirlsPants_Atct_1,Джинсовая ткань,Акция по одежде из джинсовой ткани: скидка 35% на джинсы для девочек,,-20,0
GirlsPants_Atct_2,Летняя распродажа,Летняя распродажа: сэкономьте 50% на летних юбках и платьях для девочек,,-20,0
GirlsShoes_Atct_1,Распродажа обуви,"Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок",,-20,0
GirlsShoes_Atct_2,Распродажа обуви ,"Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок",,-20,0
GirlsTops_Atct_1,Футболки и топы,Футболки и топы: 30% скидка на футболки и топы для девочек,,-20,0
GirlsTops_Atct_2,Теплые свитеры,Теплые свитеры,,-20,0
MenAcc_Atct_1,Шелковый галстук,Распродажа шелковых галстуков - скидка 50% при покупке костюма,,-20,0
MenAcc_Atct_2,Приоденься,Приоденься: распродажа мужских костюмов со скидкой 20%,,-20,0
MenJackets_Atct_1,Модная кожа,Модная кожа: скидка 20% на мужские кожаные куртки,,-20,0
MenJackets_Atct_2,Роскошный кашемир,Роскошный кашемир: скидка 15% на мужские пальто с кашемиром,,-20,0
MenPants_Atct_1,Джинсы,Комфортные джинсы: скидка 15% на мужские джинсы в повседневном стиле,,-20,0
MenPants_Atct_2,Распродажа обуви,"Распродажа мужской обуви: при покупке двух пар третья - бесплатно",,-20,0
MenShirts_Atct_1,Базовые футболки,"Распродажа базовых футболок: при покупке двух штук третья - бесплатно",,-20,0
MenShirts_Atct_2,Классическая мужская рубашка,Классическая мужская рубашка: распродажа мужских рубашек со скидкой 15%,,-20,0
MenShoes_Atct_1,Распродажа обуви,"Распродажа мужской обуви: при покупке двух пар третья - бесплатно",,-20,0
MenShoes_Atct_2,Кожаные ремни,Кожаные ремни: скидка 20% на всю нашу коллекцию,,-20,0
MenSuits_Atct_1,Приоденься,Приоденься: распродажа мужских костюмов со скидкой 20%,,-20,0
MenSuits_Atct_2,Шелковый галстук,Распродажа шелковых галстуков - скидка 50% при покупке костюма,,-20,0
MenRow1_Content,Приоденься,Приоденься: скидка 20% на мужские костюмы,,-20,0
WAcc_Atct_1,Кожаные ремни,Кожаные ремни: скидка 20% на всю нашу коллекцию,,-20,0
WAcc_Atct_2,Отличная сумка,Отличная сумка: скидка 25% на ваши любимые стили,,-20,0
WHB_Atct_1,Отличная сумка,Великолепная сумка: скидка 25% на отличную сумку,,-20,0
WHB_Atct_2,Солнцезащитные очки,Дизайнерские солнцезащитные очки: скидка 35% на самые горячие стили сезона,,-20,0
WPants_Atct_1,Джинсы,Классические джинсы: скидка 20% на вашу любимую пару,,-20,0
WPants_Atct_2,Кожаные ремни,Кожаные ремни: скидка 20% на всю нашу коллекцию,,-20,0
WSB_Atct_1,Джинсы,Классические джинсы: скидка 20% на вашу любимую пару,,-20,0
WSB_Atct_2,Рубашки и блузы,Рубашки и блузы: скидка 25% на всю нашу коллекцию,,-20,0
WSh_Atct_1,Вечерний блеск,Вечерний блеск: скидка 15% на все женские вечерние платья,,-20,0
